x,en,es,de,fa,ar
Plaguey,Plaguey,Fastidioso,Pestartig,"طاعون زده",طاعون
Plaguy,Plaguy,Plaga,Pest,طاعون,وباء
Plaid,Plaid,Tartán,Plaid,شطرنجی,منقوشة
Plain,Plain,Plano,Schmucklos,ساده,سهل
"Plain Woven","Plain Woven","Tejido Liso",Leinwandbindung,"ساده بافته شده","منسوج عادي"
Plaintful,Plaintful,Quejoso,Klagend,شاکی,حزين
Plaintiff,Plaintiff,Demandante,Kläger,شاکی,المدعي
Plaintive,Plaintive,Lastimero,Klagend,"گلایه آمیز",حزين
Plait,Plait,Trenza,Zopf,بافته,ضفيرة
Plan,Plan,Plan,Planen,طرح,يخطط
Plane,Plane,Avión,Flugzeug,هواپیما,طائرة
"Plane Tree","Plane Tree",Plátano,Platane,"درخت چنار","شجرة الدلب"
Planet,Planet,Planeta,Planet,سیاره,كوكب
"Planet Stricken","Planet Stricken","Planeta Asolado","Planet Betroffen","سیاره زده","كوكب منكوب"
"Planet Struck","Planet Struck","Planeta Impactado","Planet Getroffen","سیاره برخورد کرد","ضرب الكوكب"
Planetarium,Planetarium,Planetario,Planetarium,"آسمان نما","القبة السماوية"
Planetary,Planetary,Planetario,Planeten,"سیاره ای",كوكبي
Planetesimal,Planetesimal,Planetesimal,Planetesimal,"سیاره ای","كوكبي صغير"
Planetoid,Planetoid,Planetoide,Planetoid,"سیاره واره","كوكب صغير"
Planets,Planets,Planetas,Planeten,سیارات,الكواكب
Planimeter,Planimeter,Planímetro,Planimeter,پلانیمتر,مِسْطَار
Plank,Plank,Tablón,Planke,تخته,"لوح خشبي"
Planking,Planking,Tablaje,Beplankung,"تخته بندی","ألواح خشبية"
Plankton,Plankton,Plancton,Plankton,پلانکتون,العوالق
Planless,Planless,"Sin Plan",Planlos,"بی برنامه","بدون خطة"
Planner,Planner,Planificador,Planer,"برنامه ریز",مخطط
Planning,Planning,Planificación,Planung,"برنامه ریزی",تخطيط
Planography,Planography,Planografía,Flachdruck,پلانوگرافی,"التخطيط التخطيطي"
Plans,Plans,Planes,Pläne,"طرح ها",الخطط
Plant,Plant,Planta,Anlage,گیاه,نبات
"Plant Louse","Plant Louse","Pulgón De Planta",Pflanzenlaus,"شپش گیاهی","قملة النبات"
"Plant Seed","Plant Seed","Semilla De Planta",Pflanzensamen,"دانه گیاه","بذور النبات"
"Plant Tree","Plant Tree","Plantar Árbol","Baum Pflanzen","درخت بکارید","زرع شجرة"
Plantation,Plantation,Plantación,Plantage,مزرعه,مزرعة
Planted,Planted,Plantado,Gepflanzt,"کاشته شده",مزروعة
"Planted With Trees","Planted With Trees","Plantado Con Árboles","Mit Bäumen Bepflanzt","با درختان کاشته شده","مزروعة بالأشجار"
Planter,Planter,Plantador,Pflanzer,کاشتگر,زارع
"Plantian Seed","Plantian Seed","Semilla De Planta",Pflanzensamen,"دانه گیاهی","بذور بلانتيان"
Plantigrade,Plantigrade,Plantígrado,Sohlengänger,گیاهان,"نبات نباتي"
Plantlet,Plantlet,Plántula,Pflänzchen,گیاهچه,"نبتة صغيرة"
Plaque,Plaque,Placa,Plakette,پلاک,لوحة
Plasma,Plasma,Plasma,Plasma,پلاسما,بلازما
Plasmatic,Plasmatic,Plasmático,Plasmatisch,پلاسماتیک,بلازما
Plasmolysis,Plasmolysis,Plasmólisis,Plasmolyse,پلاسمولیز,"انحلال البلازما"
Plaster,Plaster,Yeso,Gips,گچ,جص
"Plaster Cast","Plaster Cast",Yeso,Gipsverband,"گچ ریخته گری","قالب جبس"
"Plaster Of Clay And Straw","Plaster Of Clay And Straw","Yeso De Arcilla Y Paja","Gips Aus Lehm Und Stroh","گچ از خاک رس و کاه","جص من الطين والقش"
"Plaster With Cob","Plaster With Cob","Yeso Con Mazorca","Gips Mit Lehm","گچ با کاهگل","الجص مع الطين"
Plasterboard,Plasterboard,"Cartón De Yeso",Gipskarton,"تخته گچی","ألواح الجبس"
Plasterwork,Plasterwork,Yesería,Verputz,"گچ کاری","أعمال الجبس"
Plastery,Plastery,Yesería,Gips,"گچ کاری",جصي
Plastic,Plastic,Plástico,Plastik,پلاستیک,بلاستيك
"Plastic Surgery","Plastic Surgery","Cirugía Plástica","Plastische Chirurgie","جراحی پلاستیک","جراحة تجميلية"
Plasticity,Plasticity,Plasticidad,Plastizität,پلاستیسیته,اللدونة
Plasticize,Plasticize,Plastificar,Plastifizieren,"پلاستیکی کردن",بلاستيك
Plastid,Plastid,Plástido,Plastiden,پلاستید,البلاستيدات
Plastron,Plastron,Plastrón,Plastron,پلاسترون,حامية
Plat,Plat,Plano,Plat,پلات,بلات
Plate,Plate,Lámina,Platte,بشقاب,طبق
"Plate With Gold","Plate With Gold","Placa Con Oro","Platte Mit Gold","بشقاب با طلا","طبق من الذهب"
Plateau,Plateau,Meseta,Plateau,فلات,هضبة
Plated,Plated,Chapado,Plattiert,"آبکاری شده",مطلي
Plateform,Plateform,Plataforma,Plattform,"صفحه ای",منصة
Platelet,Platelet,Plaqueta,Plättchen,پلاکت,"صفيحة دموية"
Plater,Plater,Chapista,Plattierer,بشقابکار,طبق
Platform,Platform,Plataforma,Plattform,پلتفرم,منصة
Platforms,Platforms,,,بسترها,
Plating,Plating,Enchapado,Überzug,آبکاری,تصفيح
Platinoid,Platinoid,Platinoide,Platinoid,پلاتینوئید,بلاتينويد
Platinous,Platinous,Platinoso,Platin,پلاتینی,بلاتيني
Platinum,Platinum,Platino,Platin,پلاتین,البلاتين
Platitudinize,Platitudinize,"Decir Tópicos",Plattitüden,"عمومی کردن","تلفظ بتفاهات"
Plato,Plato,Platón,Plato,افلاطون,أفلاطون
Platonic,Platonic,Platónico,Platonisch,افلاطونی,أفلاطوني
Platonism,Platonism,Platonismo,Platonismus,"افلاطون گرایی",الأفلاطونية
Platoon,Platoon,Pelotón,Zug,دسته,فصيلة
Platy,Platy,Ornitorrinco,Schnabeltier,پلاتیپوس,"خلد الماء"
Plaudit,Plaudit,Aplausos,Beifall,ستایش,تصفيق
Plausible,Plausible,Plausible,Plausibel,"قابل قبول",معقول
Plausive,Plausive,Plausible,Plausibel,محتمل,معقول
Play,Play,Jugar,Spielen,"بازی کردن",يلعب
"Play Cards","Play Cards","Jugar A Las Cartas","Karten Spielen","کارت بازی","لعب الورق"
"Play Football","Play Football","Jugar Al Fútbol","Fußball Spielen","فوتبال بازی کردن","العب كرة القدم"
"Play Foul","Play Foul","Jugar Sucio","Foul Spielen","بازی ناجوانمردانه","لعب خطأ"
"Play Games","Play Games","Jugar Juegos","Spiele Spielen","بازی کردن","العب الألعاب"
"Play Thing","Play Thing","Cosa De Juego",Spielsachen,"چیز بازی","شيء لعب"
"Play With","Play With","Jugar Con","Spielen Mit","بازی کردن با","العب مع"
Playable,Playable,Interpretable,Spielbar,"قابل پخش","قابلة للعب"
Playback,Playback,Reproducción,Wiedergabe,پخش,التشغيل
Playbill,Playbill,Programa,Theaterprogramm,نمایشنامه,"إعلان حفلة"
Playboy,Playboy,Playboy,Playboy,پلیبوی,لعوب
Played,Played,Jugó,Gespielt,"بازی شده",لعبت
Player,Player,Jugador,Spieler,بازیکن,لاعب
Playful,Playful,Juguetón,Spielerisch,بازیگوش,مرح
Playfulness,Playfulness,Alegría,Verspieltheit,بازیگوشی,هرج
Playgoer,Playgoer,"Aficionado Al Teatro",Theaterbesucher,"اهل بازی","هاو المسرح"
Playground,Playground,"Patio De Juegos",Spielplatz,"زمین بازی",ملعب
"Playing Card","Playing Card",Naipe,Spielkarte,"کارت بازی","بطاقة اللعب"
"Playing Field","Playing Field","Campo De Juego",Spielplatz,"زمین بازی","ملعب اللعب"
Playlet,Playlet,"Obra Corta",Spielchen,"پلی لت","مسرحية صغيرة"
Playmate,Playmate,"Compañero De Juego",Spielkamerad,"رفیق بازی","زميل اللعب"
Playsuit,Playsuit,Mono,Spielanzug,"لباس بازی","بدلة لعب"
Plaything,Plaything,Juguete,Spielzeug,"اسباب بازی",ألعوبة
Playtime,Playtime,Recreo,Spielzeit,"وقت بازی","وقت اللعب"
Playwright,Playwright,Dramaturgo,Dramatiker,"نمایشنامه نویس","الكاتب المسرحي"
Plaza,Plaza,Plaza,Platz,میدان,ساحة
Plea,Plea,Súplica,Plädoyer,التماس,التماس
Pleach,Pleach,Entretejer,Pleach,"التماس کردن",تبييض
Plead,Plead,Alegar,Flehen,"التماس کردن",يتوسل
"Plead For Justice","Plead For Justice","Pedir Justicia","Für Gerechtigkeit Plädieren","دادخواهی برای عدالت","المطالبة بالعدالة"
Pleader,Pleader,Intercesor,Kläger,"التماس کننده",مدافع
Pleasance,Pleasance,Complacencia,Lustgarten,لذت,متعة
Pleasant,Pleasant,Agradable,Angenehm,دلپذیر,جَذّاب
"Pleasant Plains","Pleasant Plains","Pleasant Plains","Angenehme Ebenen","دشت های دلپذیر","سهول بليزانت"
Pleasantness,Pleasantness,Agrado,Freundlichkeit,دلپذیری,اللطف
Please,Please,"Por Favor",Bitte,"خواهش می کنم","لو سمحت"
"Please allow location access","Please allow location access","Permite el acceso a la ubicación","Bitte erlauben Sie den Standortzugriff","لطفاً اجازه دسترسی به موقعیت مکانی را بدهید","يُرجى السماح بالوصول إلى الموقع"
"Please check your connection!","Please check your connection!","Por favor verifique su conexión","Bitte überprüfen Sie Ihre Verbindung","لطفا اتصال خود به اینترنت را بررسی کنید","يرجى التحقق من اتصالك"
"Please complete field by correct format...","Please complete field by correct format...","Por favor complete el campo con el formato correcto...","Bitte füllen Sie das Feld im richtigen Format aus ...","لطفا فیلد را با مقدار درست تکمیل نمایید....","يرجى ملء الحقل بالتنسيق الصحيح..."
"Please scan the correct QRCode!","Please scan the correct QRCode!","¡Escanea el código QR correcto!","Bitte scannen Sie den richtigen QRCode!","لطفا QRCode صحیح را اسکن کنید!","يرجى مسح رمز الاستجابة السريعة الصحيح!"
"Please scan the QRCode","Please scan the QRCode","Escanea el código QR","Bitte scannen Sie den QRCode","لطفا کیوآرکد را اسکن کنید","الرجاء مسح رمز الاستجابة السريعة"
"Please scan the QRCode, or ","Please scan the QRCode, or ","Escanea el código QR o"," Bitte scannen Sie den QRCode, oder"," لطفا QRCode را اسکن کنید، یا"," يرجى مسح رمز الاستجابة السريعة QRCode، أو"
Pleased,Pleased,Complacido,Erfreut,خشنود,مسرور
Pleasing,Pleasing,Agradable,Angenehm,خوشایند,مُرضي
Pleasurable,Pleasurable,Agradable,Angenehm,"لذت بخش",ممتع
Pleasure,Pleasure,Placer,Vergnügen,لذت,سرور
"Pleasure House","Pleasure House","Casa De Placer",Lusthaus,"خانه ی لذت","بيت المتعة"
"Pleasure Seeking","Pleasure Seeking","Búsqueda De Placer","Vergnügen Suchend","لذت جویی","البحث عن المتعة"
Pleasure-Seeking,Pleasure-Seeking,"Búsqueda De Placer",Vergnügungssüchtig,"لذت جویی","باحث عن المتعة"
Pleasures,Pleasures,Placeres,Freuden,"لذت ها",ملذات
Pleat,Pleat,Pliegue,Falte,پلیسه,طوى
Plebiscite,Plebiscite,Plebiscito,Volksabstimmung,"همه پرسی",استفتاء
Plectrum,Plectrum,Púa,Plektrum,مضراب,ريشة
Pledge,Pledge,Promesa,Versprechen,تعهد,يتعهد
Pledged,Pledged,Prometido,Verpfändet,"متعهد شد",تعهد
Pledget,Pledget,Compresa,Pfand,تعهد,تعهد
Pleiades,Pleiades,Pléyades,Plejaden,پروین,الثريا
Plenary,Plenary,Plenario,Plenarsitzung,"مجمع عمومی","الجلسة العامة"
Plenipotentiary,Plenipotentiary,Plenipotenciario,Bevollmächtigte,"نماینده تام الاختیار",مفوض
Plentiful,Plentiful,Abundante,Reichlich,فراوان,وفيرة
Plentitude,Plentitude,Plenitud,Fülle,فراوانی,الوفرة
Plenty,Plenty,Infinidad,"Eine Menge",فراوان,كثير
Pleurisy,Pleurisy,Pleuritis,Pleuritis,پلوریت,"التهاب الجنبة"
Pliable,Pliable,Flexible,Biegsam,"قابل انعطاف",مرن
Pliancy,Pliancy,Flexibilidad,Biegsamkeit,"انعطاف پذیری",مرونة
Pliers,Pliers,Alicates,Zange,انبردست,كماشة
"Pligrim'S Garb","Pligrim'S Garb",,,احرام,
"Pligrims Garb'","Pligrims Garb'","Atuendo De Peregrino",Pligrims-Gewand',"لباس زائران","زيّ المتدينين"
Plinth,Plinth,Zócalo,Sockel,ازاره,قاعدة
Plod,Plod,"Paso Pesado",Trotten,پلود,"المشي ببطء"
Plop,Plop,Plaf,Plumpsen,پلوپ,"صوت نزول المطر"
Plot,Plot,Trama,Handlung,طرح,حبكة
Plotter,Plotter,Trazador,Plotter,"نقشه بردار",متآمر
Plotting,Plotting,Conspirando,Plotten,"نقشه کشیدن",التخطيط
Plough,Plough,Arado,Pflug,"شخم زدن",محراث
Ploughed,Ploughed,Arado,Gepflügt,"شخم زده",محروث
"Ploughing Device","Ploughing Device","Dispositivo De Arado",Pfluggerät,"دستگاه شخم زدن","جهاز الحرث"
Ploughshare,Ploughshare,"Reja Del Arado",Pflugschar,گاوآهن,محراث
Plover,Plover,Chorlito,Regenpfeifer,پلوور,الزقزاق
Plow,Plow,Arado,Pflug,"شخم زدن",محراث
Plowshare,Plowshare,"Reja Del Arado",Pflugschar,"شخم زدن","سكة المحراث"
Ploy,Ploy,Táctica,Trick,حیله,حيلة
Pluck,Pluck,Arrancar,Zupfen,چیدن,نتف
"Pluck Hair","Pluck Hair","Arrancarse El Pelo","Haare Zupfen","کندن مو","نتف الشعر"
Plucked,Plucked,Arrancado,Gezupft,"چیده شده",قطف
Plug,Plug,Enchufar,Stecker,پلاگین,سدادة
"Plug In","Plug In",Conectar,Steckernetzteil,"وصل کردن","قم بتوصيله"
Plum,Plum,Ciruela,Pflaume,آلو,البرقوق
Plum-Shaped,Plum-Shaped,"En Forma De Ciruela",Pflaumenförmig,"آلو شکل","على شكل البرقوق"
Plumage,Plumage,Plumaje,Gefieder,"پر و بال",ريش
Plumb,Plumb,Sondear,Lot,شاقول,راسيا
"Plumb Bob","Plumb Bob",Plomada,Lot,"باب شاقولی",راسيا
Plumbago,Plumbago,Plombagina,Graphit,پلامباگو,البرقوق
Plumber,Plumber,Plomero,Klempner,"لوله کش",سباك
Plumbery,Plumbery,Plomería,Klempnerarbeiten,"لوله کشی",سباكة
Plumbing,Plumbing,Plomería,Sanitär,"لوله کشی",السباكة
Plume,Plume,Penacho,Feder,ستون,ريشة
Plumelet,Plumelet,Plumecillo,Federchen,پلوملت,"ريشة صغيرة"
Plummet,Plummet,Plomada,Lot,"سقوط ناگهانی","هبوط حاد"
Plump,Plump,Rechoncho,Prall,"چاق و چله",طبطب
Plumper,Plumper,"Más Regordete",Praller,"چاق کننده","أكثر سمنة"
Plumpness,Plumpness,Gordura,Plumpheit,فربهی,الامتلاء
Plumule,Plumule,Plúmula,Federbusch,آلوچه,ريشة
Plumy,Plumy,Plumoso,Pflaumenartig,پرمانند,ريشي
Plunder,Plunder,Saquear,Plunder,غارت,نهب
Plunderable,Plunderable,Saqueable,Plünderbar,"قابل غارت","قابلة للنهب"
Plundered,Plundered,Saqueado,Geplündert,"غارت شده",نهبت
Plunderer,Plunderer,Saqueador,Plünderer,غارتگر,ناهب
Plundering,Plundering,Saqueo,Plünderungen,غارت,نهب
Plundery,Plundery,Saquear,Plunder,غارت,نهب
Plunge,Plunge,Inmersión,Stürzen,"غوطه ور شدن",غطس
Plunged,Plunged,"Se Hundió",Stürzte,"فرو رفته",غرقت
Plunging,Plunging,"Muy Bajo",Stürzend,"فرو رفتن",غطس
Plural,Plural,Plural,Plural,جمع,جمع
Pluralism,Pluralism,Pluralismo,Pluralismus,"کثرت گرایی",التعددية
Plus,Plus,Más,Plus,"به علاوه",زائد
Plusage,Plusage,Plusage,Plus,پلاساژ,زائد
Plussage,Plussage,Plusvalía,Pluspunkt,پلاسیج,زائد
Plutocracy,Plutocracy,Plutocracia,Plutokratie,پلوتوکراسی,"حكم الأثرياء"
Plutonium,Plutonium,Plutonio,Plutonium,پلوتونیوم,البلوتونيوم
Pluviosity,Pluviosity,Pluviosidad,Niederschlagshöhe,پلوویوزیتی,"هطول الأمطار"
Ply,Ply,Capa,Lage,لایه,طبقة
Pneograph,Pneograph,Pneógrafo,Pneograph,پنوگراف,"جهاز تخطيط القلب"
Pneography,Pneography,Pneografía,Pneographie,پنوگرافی,"علم النفس"
Pneumatoneter,Pneumatoneter,Neumatonómetro,Pneumatoneter,پنوموتونتر,"مقياس الضغط الهوائي"
Pneumonia,Pneumonia,Neumonía,Lungenentzündung,"ذات الریه","التهاب رئوي"
Poach,Poach,Escalfar,Pochieren,"شکار غیرقانونی","صيد غير مشروع"
Poacher,Poacher,"Cazador Furtivo",Wilderer,"شکارچی غیرمجاز",مبيضة
Pocket,Pocket,Bolsillo,Tasche,جیب,جيب
"Pocket Book","Pocket Book","Libro De Bolsillo",Taschenbuch,"کتاب جیبی","كتاب الجيب"
"Pocket Cameras","Pocket Cameras","Cámaras De Bolsillo",Taschenkameras,"دوربین های جیبی","كاميرات الجيب"
"Pocket Picking","Pocket Picking",Carterismo,Taschendiebstahl,"جیب بری","نشل الجيوب"
"Pocket Size","Pocket Size","Tamaño De Bolsillo","Im Taschenformat",جیبی,"بحجم الجيب"
Pocketbook,Pocketbook,Cartera,Brieftasche,"دفترچه جیبی","كتاب الجيب"
Pocketknife,Pocketknife,"Navaja De Bolsillo",Taschenmesser,"چاقوی جیبی","سكين جيب"
Pockmark,Pockmark,"Picadura De Viruela",Pockennarbe,"پاکت مارک","أثر البثور"
Pockmarked,Pockmarked,"Picado De Viruelas",Pockennarbig,"علامت گذاری شده","مليء بالحفر"
Pocky,Pocky,Viruela,Pocky,پاکتی,بوكي
Pod,Pod,Vaina,Schote,غلاف,جراب
Podded,Podded,"En Vainas",Gekapselt,"غلاف دار",متقرن
Podium,Podium,Podio,Podium,تریبون,المنصة
Poem,Poem,Poema,Gedicht,شعر,قصيدة
Poems,Poems,Poemas,Gedichte,اشعار,قصائد
Poes,Poes,Poetas,Poes,شعرها,قصائد
Poet,Poet,Poeta,Dichter,شاعر,شاعر
"Poet Laureate","Poet Laureate","Poeta Laureado",Hofdichter,"شاعر برجسته","شاعر البلاط الملكي"
Poetaster,Poetaster,Poetastro,Poetaster,شاعر,شاعر
Poetess,Poetess,Poetisa,Dichterin,شاعره,شاعرة
Poetic,Poetic,Poético,Poetisch,شاعرانه,شعري
Poetical,Poetical,Poético,Poetisch,شاعرانه,شعري
Poeticize,Poeticize,Poetizar,Poetisieren,"شاعرانه کردن",شعري
Poetics,Poetics,Poética,Poetik,شاعرانه,شاعرية
Poetize,Poetize,Poetizar,Poetisieren,"شعر گفتن",شعر
Poetizer,Poetizer,Poetizador,Dichter,شاعر,شاعر
Poetry,Poetry,Poesía,Poesie,شعر,شِعر
